abahunza	462	abahunza
abaunza	154	abaunza
abdegano	638	abdegano
abdenago	474	abdenago
abdul	1270	abdúl
abel	147	abel
abelardo	2113	abelardo
abenicio	1096	abenicio
abraham	465	abraham
abrahan	1175	abrahán
abril	2330	abril
absalon	1633	absalón
acero	1616	acero
acevedo	2427	acevedo
achagua	1728	achagua
acisclo	722	acisclo
acosta	1996	acosta
acuña	1310	acuña
adarve	1082	adarve
adela	315	adela
adelina	1188	adelina
ader	62	ader
adolfo	1583	adolfo
adonai	937	adonai
adriano	1681	adriano
africano	173	africano
agripina	383	agripina
agudelo	1534	agudelo
agueda	137	águeda
aguilar	2185	aguilar
aguilera	360	aguilera
aguillon	423	aguillón
aguirre	2327	aguirre
agustina	1292	agustina
aida	1546	aida
aide	483	aide
alarcon	2390	alarcón
alba	1773	alba
alban	655	alban
albarracin	2446	albarracín
albañil	799	albañil
albeiro	1490	albeiro
alberto	2466	alberto
albornoz	1336	albornóz
alcira	1523	alcira
aldana	307	aldana
aldemar	785	aldemar
alejandra	1098	alejandra
alejandro	2362	alejandro
alexander	2207	alexander
alexandra	1845	alexandra
alexi	457	alexi
alfonso	2473	alfonso
alfredo	2357	alfredo
ali	1323	alí
alicia	238	alicia
alipio	958	alipio
aliria	666	aliria
alirio	2076	alirio
alodia	289	alodia
alonso	2120	alonso
alvado	1338	alvado
alvarado	2412	alvarado
alvarez	2419	álvarez
alvaro	2321	álvaro
alveiro	683	alveiro
amadeo	615	amadeo
amanda	1585	amanda
ambrocio	690	ambrocio
amelia	1700	amelia
amezquita	2102	amézquita
amparo	2305	amparo
ana	2322	ana
anadel	966	anadel
anais	609	anaís
ananias	1663	ananías
anastacio	939	anastacio
anatilde	1537	anatilde
anaversa	364	anaversa
ancizar	636	ancízar
andrade	1485	andrade
andrea	1048	andrea
andres	1631	andrés
angarita	2238	angarita
angel	2286	ángel
angela	2233	ángela
angelberto	970	angelberto
angeles	959	ángeles
angelita	272	angelita
angelmira	280	angelmira
anibal	2022	aníbal
antonia	2300	antonia
antonio	2470	antonio
anunciacion	1940	anunciación
anzola	1469	anzola
aparicio	1930	aparicio
apolinar	42	apolinar
apolonio	962	apolonio
aponte	2063	aponte
apoyome	1178	apoyome
apuleyo	151	apuleyo
aquileo	773	aquileo
aquilino	531	aquilino
aracely	1928	aracely
arambula	765	arámbula
aranda	373	aranda
araque	558	araque
arbelaez	711	arbeláez
arcadio	136	arcadio
arcelino	760	arcelino
arcinegas	201	arcinégas
arciniegas	1092	arciniégas
ardila	1105	ardila
arenas	1952	arenas
arevalo	2151	arévalo
arevalos	999	arévalos
argemiro	1797	argemiro
arguelles	802	arguelles
arguello	2299	argüello
arias	1711	arias
ariel	1193	ariel
arieta	733	arieta
ariosto	1	ariosto
arismendi	1752	arisméndi
aristides	782	aristides
aristizabal	2064	aristizábal
aristobulo	1517	aristóbulo
arles	1002	arles
arlet	581	arlet
arley	2000	arley
arma	914	arma
armando	2226	armando
arnoldo	1189	arnoldo
arnulfo	1906	arnulfo
arocha	1377	arocha
aron	998	arón
arquimedes	2171	arquímedes
arsenio	1824	arsenio
arteaga	792	arteaga
artunduaga	1148	artunduaga
arturo	2115	arturo
ascencion	2016	ascención
ascensio	363	ascensio
asdrubal	1645	asdrúbal
asned	729	asned
astrid	1484	astrid
astrith	192	astrith
asuncion	1650	asunción
atilua	1081	atilúa
audenago	3	audenago
augusto	1998	augusto
aura	865	aura
aureli	759	aureli
aurelio	1874	aurelio
aurora	1713	aurora
auvin	1269	auvin
avela	1141	avela
avella	1779	avella
avellaneda	2420	avellaneda
avendaño	2111	avendaño
avila	2072	ávila
ayala	2049	ayala
aydee	335	aydée
azucena	2038	azucena
bacarez	746	bacarez
badovinac	204	badovinac
baez	2106	báez
balaguera	2124	balaguera
balbino	740	balbino
balboa	486	balboa
balcazar	185	balcázar
ballesteros	2165	ballesteros
balmiro	1325	balmiro
baquero	844	baquero
baracaldo	1524	baracaldo
barahona	1899	barahona
barajas	712	barajas
barbara	2029	bárbara
barbosa	1651	barbosa
barchilon	1278	barchilon
baron	1740	barón
barona	710	barona
barquero	207	barquero
barra	561	barra
barragan	2086	barragán
barrantes	421	barrantes
barrera	2444	barrera
barreto	2349	barreto
barrios	1751	barrios
bartolme	834	bartolmé
basilio	1385	basilio
bastilla	1541	bastilla
baudilio	1416	baudilio
baudon	15	baudón
bautista	2418	bautista
bayona	1754	bayona
beatriz	2365	beatríz
becerra	2441	becerra
bedou	613	bedoú
bedoya	2129	bedoya
beiva	362	beiva
bejarano	1938	bejarano
belalcazar	2166	belalcázar
belarmina	1272	belarmina
belarmino	1573	belarmino
belen	1722	belén
belisario	1239	belisario
belkis	1026	belkis
belkys	281	belkys
bella	90	bella
bellizia	1331	bellizia
belquis	874	belquis
belsy	1016	belsy
beltran	2353	beltrán
benancio	909	benancio
benavides	2385	benavides
benedicto	2311	benedicto
benigno	1145	benigno
benilda	717	benilda
benildo	357	benildo
benitez	2431	benítez
benito	1221	benito
benjamin	2262	benjamín
berdugo	1372	berdugo
berenice	2243	berenice
bermejo	1800	bermejo
bermeo	573	bermeo
bermudez	2294	bermúdez
bernal	2381	bernal
bernarda	896	bernarda
bernardina	2021	bernardina
bernardino	1495	bernardino
bernardo	2155	bernardo
berrio	1130	berrío
berroteran	1943	berroterán
bersabet	515	bersabet
bertha	1838	bertha
bertilda	775	bertilda
betancour	2052	betancour
betancourt	1459	betancourt
betancourth	1543	betancourth
betancur	1625	betancur
betancurt	2105	betancurt
betsabe	312	betsabé
betulia	108	betulia
beyer	1357	beyer
bibiana	1078	bibiana
bienvenido	804	bienvenido
bilbao	803	bilbao
blanca	2399	blanca
blanco	2194	blanco
blum	856	blum
boada	110	boada
bohoquez	1328	bohóquez
bohorquez	2442	bohórquez
bolaños	887	bolaños
bolivar	1974	bolívar
bonifacio	579	bonifacio
bonilla	2103	bonilla
bonza	358	bonza
borja	1829	borja
borras	1529	borras
bosiga	953	bosiga
bosigas	604	bosigas
botello	1810	botello
botero	707	botero
botia	413	botia
bottia	319	bottia
boyaca	1658	boyacá
bran	1332	bran
brando	863	brando
braulio	1156	braulio
bredemir	461	bredemir
brenda	1001	brenda
bricelda	104	bricelda
brigida	80	brígida
brigit	801	brigit
brigith	294	brigith
brijaldo	1926	brijaldo
briseida	512	briseida
brown	1725	brown
brunequilde	588	brunequilde
buenaventura	1866	buenaventura
buitraago	1184	buitraago
buitrago	2482	buitrago
burgos	2019	burgos
buritica	1294	buriticá
bustamante	1743	bustamante
busto	992	busto
bustos	35	bustos
caballero	2023	caballero
cabanzo	1676	cabanzo
cabra	1929	cabra
cabrera	2030	cabrera
cabulo	1477	cabulo
caceres	2173	cáceres
cadavid	1138	cadavid
cahueño	1307	cahueño
caicedo	2004	caicedo
cainaba	1702	cainaba
calderon	2293	calderón
calero	948	calero
callejas	57	callejas
camacho	2320	camacho
camano	1231	camano
camargo	2445	camargo
camberos	520	camberos
camero	299	camero
campo	2213	campo
campoelias	271	campoelías
canal	1317	canal
cancelado	838	cancelado
candia	1429	candia
candida	494	cándida
cano	930	cano
caranton	1206	carantón
carantonio	1349	carantonio
cardenas	2479	cárdenas
cardozo	2387	cardozo
caren	487	caren
carla	188	carla
carlos	2467	carlos
carmela	67	carmela
carmelina	1361	carmelina
carmelo	1720	carmelo
carmen	2415	carmen
carmenza	1656	carmenza
carnica	823	carnica
caro	1660	caro
carranza	1685	carranza
carrasco	471	carrasco
carrera	1412	carrera
carreño	2253	carreño
carvajal	2443	carvajal
carvajalino	885	carvajalino
carzon	1247	carzón
casallas	91	casallas
casanova	84	casanova
casiano	158	casiano
castañeda	2430	castañeda
castaño	756	castaño
casteblanco	2032	casteblanco
castelblanco	1916	castelblanco
castellano	124	castellano
castellanos	2378	castellanos
castiblanco	2364	castiblanco
castilla	424	castilla
castillo	2319	castillo
castrillon	758	castrillón
castro	2281	castro
catalina	595	catalina
cataño	713	cataño
caterine	1401	caterine
catimay	526	catimay
caviedes	1721	caviedes
cavieles	634	cavieles
cayetano	991	cayetano
