abahunza	462
abaunza	154
abdegano	638
abdenago	474
abdúl	1270
abel	147
abelardo	2113
abenicio	1096
abraham	465
abrahán	1175
abril	2330
absalón	1633
acero	1616
acevedo	2427
achagua	1728
acisclo	722
acosta	1996
acuña	1310
adarve	1082
adela	315
adelina	1188
ader	62
adolfo	1583
adonai	937
adriano	1681
africano	173
agripina	383
agudelo	1534
aguilar	2185
aguilera	360
aguillón	423
aguirre	2327
agustina	1292
aida	1546
aide	483
alarcón	2390
alba	1773
alban	655
albarracín	2446
albañil	799
albeiro	1490
alberto	2466
albornóz	1336
alcira	1523
aldana	307
aldemar	785
alejandra	1098
alejandro	2362
alexander	2207
alexandra	1845
alexi	457
alfonso	2473
alfredo	2357
alicia	238
alipio	958
aliria	666
alirio	2076
alodia	289
alonso	2120
alvado	1338
alvarado	2412
alveiro	683
alí	1323
amadeo	615
amanda	1585
ambrocio	690
amelia	1700
amparo	2305
amézquita	2102
ana	2322
anadel	966
ananías	1663
anastacio	939
anatilde	1537
anaversa	364
anaís	609
ancízar	636
andrade	1485
andrea	1048
andrés	1631
angarita	2238
angelberto	970
angelita	272
angelmira	280
antonia	2300
antonio	2470
anunciación	1940
anzola	1469
aníbal	2022
aparicio	1930
apolinar	42
apolonio	962
aponte	2063
apoyome	1178
apuleyo	151
aquileo	773
aquilino	531
aracely	1928
aranda	373
araque	558
arbeláez	711
arcadio	136
arcelino	760
arciniégas	1092
arcinégas	201
ardila	1105
arenas	1952
argemiro	1797
arguelles	802
argüello	2299
arias	1711
ariel	1193
arieta	733
ariosto	1
arisméndi	1752
aristides	782
aristizábal	2064
aristóbulo	1517
arles	1002
arlet	581
arley	2000
arma	914
armando	2226
arnoldo	1189
arnulfo	1906
arocha	1377
arquímedes	2171
arsenio	1824
arteaga	792
artunduaga	1148
arturo	2115
arámbula	765
arévalo	2151
arévalos	999
arón	998
ascención	2016
ascensio	363
asdrúbal	1645
asned	729
astrid	1484
astrith	192
asunción	1650
atilúa	1081
audenago	3
augusto	1998
aura	865
aureli	759
aurelio	1874
aurora	1713
auvin	1269
avela	1141
avella	1779
avellaneda	2420
avendaño	2111
ayala	2049
aydée	335
azucena	2038
bacarez	746
badovinac	204
balaguera	2124
balbino	740
balboa	486
balcázar	185
ballesteros	2165
balmiro	1325
baquero	844
baracaldo	1524
barahona	1899
barajas	712
barbosa	1651
barchilon	1278
barona	710
barquero	207
barra	561
barragán	2086
barrantes	421
barrera	2444
barreto	2349
barrios	1751
bartolmé	834
barón	1740
basilio	1385
bastilla	1541
baudilio	1416
baudón	15
bautista	2418
bayona	1754
beatríz	2365
becerra	2441
bedoya	2129
bedoú	613
beiva	362
bejarano	1938
belalcázar	2166
belarmina	1272
belarmino	1573
belisario	1239
belkis	1026
belkys	281
bella	90
bellizia	1331
belquis	874
